#NAME,case1_after,case1_before,case2_after,case2_before,case3_after,case3_before,case4_after,case4_before,case5_after,case5_before,case6_after,case6_before,case7_after,case7_before,case8_after,case8_before,case9_after,case11_after,case11_before,case12_after,case12_before,case13_after,case13_before,case14_after,case14_before,case15_after,case15_before,donor_1,donor_2,donor_3,donor_4,donor_5,donor_6
K02786,84,10,119,195,13,41,23,20,677,658,20,521,188,473,446,33,338,23,44,286,42,168,71,315,100,112,84,31,5,23,11,53,37
K00705,1513,134,1964,1761,5595,1764,3870,1607,4251,4688,1656,2726,4894,1153,2496,1491,24856,1276,1194,5335,1877,6617,4907,8217,4952,4972,1028,4875,358,589,2571,4989,6072
K07811,114,10,818,251,39,22,58,29,914,1004,356,91,40,113,12,279,6875,13,11,32,182,699,123,27,242,75,220,54,2,3,12,20,38
K07812,174,23,615,219,20,17,76,16,700,796,380,33,49,92,8,327,5590,12,5,8,192,625,63,16,208,51,207,24,8,7,11,15,26
K07816,59,92,863,625,1933,695,1364,443,2540,2950,725,2569,1940,1228,1622,165,4368,423,197,2035,725,2229,1543,2790,1583,1082,618,1142,107,139,647,1665,2068
K06990,24,8,163,78,22,26,100,29,11,17,9,284,24,111,4,27,14,243,60,279,33,40,67,49,178,109,53,33,3,13,28,91,23
K18142,249,7,123,32,62,65,56,20,73,96,38,27,39,124,377,178,903,38,104,37,88,98,330,36,155,64,70,30,6,28,4,15,85
K00090,477,57,543,267,479,190,376,156,537,664,265,530,385,265,303,402,4732,174,133,314,170,667,707,788,501,479,292,289,44,67,255,467,469
K01066,4,1,227,79,34,9,24,1,209,256,87,48,66,24,114,41,1766,12,7,13,46,184,35,14,75,34,56,23,3,5,8,18,10
K00093,40,1,70,33,124,62,56,9,83,101,43,97,155,108,47,28,219,44,22,161,49,131,198,67,67,68,63,81,5,4,38,98,133
K00096,65,5,280,84,286,103,320,75,157,179,120,451,299,293,57,49,668,321,52,183,102,273,683,355,329,180,44,292,5,29,131,305,388
K00097,1851,61,884,270,592,385,933,607,595,730,327,404,364,814,1593,927,7021,386,684,384,706,750,1954,871,1184,1129,550,434,42,151,357,580,719
K00099,2301,177,1830,1775,4679,1753,4246,1991,2957,3573,1198,2981,4075,1416,2774,1595,23962,1491,1265,4366,1460,4569,5242,7466,3893,5623,1436,4046,332,723,2270,4790,4860
K09952,39,65,165,120,553,473,318,262,437,476,460,299,470,26,587,114,1955,154,680,1618,110,5446,170,542,1577,683,357,596,23,74,355,824,1179
K00140,321,150,205,85,127,106,117,53,123,124,189,736,185,2096,155,210,603,55,22,154,337,142,149,289,266,209,41,148,68,164,114,196,123
K00147,2743,325,2324,2142,5461,1824,3769,1642,5427,6543,1410,4425,4757,3323,4073,1985,25486,1746,1546,5285,1690,6357,5804,8084,4985,6310,1744,4579,311,816,2583,5364,5305
K00145,2037,200,2172,1601,4531,1613,3355,1343,2909,3318,1305,2894,4165,1374,3129,1209,21489,1439,1231,4240,1368,5075,4621,6551,3726,4981,1520,3787,217,483,2110,4412,4544
K01945,2244,313,2626,2274,5569,1936,4297,2098,5078,5996,1566,4508,4913,2880,3134,1836,25431,2051,1467,5630,1705,6501,5632,7913,5420,5819,1724,4248,301,657,2578,5467,5547
K01940,669,376,2202,2254,5676,1870,3744,1372,5513,6484,1665,3549,5101,1248,2680,1300,23425,1801,1095,6433,1336,6710,5019,7617,4710,5201,1583,4753,365,820,2402,4798,5704
K10558,210,21,80,124,249,91,148,69,487,627,227,246,239,184,81,360,3433,77,48,285,96,422,123,310,281,230,177,142,24,17,108,186,271
K00384,1699,358,2139,1702,4083,1414,3159,1477,4664,5064,1017,4115,3492,2484,3180,1395,20842,1107,1027,2960,1288,5025,4632,4938,4075,3189,1268,2247,280,662,1282,2735,3022
K03881,13,158,29,9,10,10,39,25,2,6,1,8,12,112,9,1,79,20,5,10,4,31,18,16,28,19,15,35,33,99,14,17,26
K00382,1972,510,1887,1154,1523,512,1002,485,3834,4764,446,2630,1096,3088,2666,1145,11599,545,718,1055,1031,1776,2094,773,2482,452,728,290,410,712,136,239,454
K00383,297,71,735,506,202,96,99,124,1623,1772,318,1440,167,1342,428,446,4005,54,279,560,265,1643,171,89,746,101,225,29,23,46,10,35,39
K07727,215,4,188,284,303,102,374,91,357,407,96,628,435,731,170,133,2373,138,184,293,173,464,494,833,618,182,125,307,36,45,90,214,412
K07720,131,13,349,257,658,163,211,91,241,202,263,1127,473,345,556,102,745,105,82,590,228,588,372,635,400,245,373,257,21,32,152,347,564
K00899,168,6,128,58,62,31,36,12,105,133,172,146,93,71,10,163,337,24,10,79,26,82,29,31,15,15,74,12,2,6,12,16,28
K00891,1356,114,1207,629,1716,689,1538,669,1245,1399,574,1529,1363,887,1358,819,8717,732,557,1608,651,2032,2034,2273,1738,1850,655,1543,84,181,759,1594,1920
K01389,92,11,69,26,63,22,62,31,183,240,4,78,51,148,136,31,214,28,37,25,53,36,80,54,92,84,18,39,2,25,21,36,28
K00895,2213,90,846,160,681,561,1315,1005,320,443,105,308,184,827,1756,727,5591,364,790,476,651,746,2112,2169,1587,2549,463,1060,70,355,783,1548,1188
K00284,454,34,460,272,1174,360,741,394,720,920,290,734,1134,252,839,369,4617,229,253,1111,321,979,897,1703,746,1382,283,1076,59,105,714,1401,1454
K22409,107,44,113,65,81,45,55,33,242,235,2,385,34,247,113,74,325,18,31,122,20,133,53,53,93,64,23,71,15,105,29,49,27
K08384,67,6,219,173,912,234,806,245,448,423,231,845,653,160,257,114,1518,164,82,556,195,535,528,1567,678,650,345,812,35,53,411,842,1159
K09157,243,238,1237,2074,6043,1901,3931,1706,5445,6536,1417,3616,5266,1056,2546,1145,22538,1535,912,6674,1255,6932,4615,9300,4391,6987,1423,5181,290,427,3129,6286,5985
K03196,49,3,47,33,97,36,114,41,83,62,102,119,121,38,89,10,1553,31,5,117,29,161,73,245,98,90,71,125,10,29,57,159,314
K02777,172,56,335,356,273,76,147,82,924,1043,219,1339,554,970,556,211,3448,97,83,561,147,850,548,1161,465,272,362,150,18,55,78,255,306
K17830,26,1,353,164,8,3,160,23,17,10,2,77,15,80,6,14,9,326,65,7,4,46,22,52,321,34,3,4,1,15,21,29,22
K05572,99,7,16,7,20,24,25,26,4,17,5,10,9,24,146,52,64,10,28,10,17,13,108,64,38,94,22,29,1,3,33,40,23
K00560,1792,250,1506,1088,1688,759,1944,992,3618,4317,482,2156,2105,2100,2783,1159,18263,689,850,2030,800,2890,2700,2136,2595,1217,653,783,213,459,416,1079,1301
K00561,1707,7,170,974,745,1132,2632,1853,15,11,69,1957,198,2930,154,195,332,788,2018,106,103,100,1655,728,142,968,310,54,10,72,53,271,556
K00564,219,16,452,235,35,27,95,47,569,655,184,737,137,727,213,284,2967,21,65,178,115,656,97,305,345,98,128,30,2,29,19,45,29
K00566,5755,295,2747,1806,6136,2386,4866,2252,6014,7485,1411,4674,4356,4199,7404,2937,17224,2059,2815,5026,2551,5853,8686,7624,6673,5244,2232,4466,393,891,2467,4601,5909
K00567,513,80,526,538,856,355,855,474,1580,1753,258,1201,742,741,967,531,3323,423,334,1007,335,992,1231,1310,851,1219,415,669,66,141,337,789,761
K00568,99,20,179,48,9,8,32,7,192,234,86,71,29,20,9,146,1428,8,3,30,39,146,31,30,79,15,46,9,5,4,7,10,14
K02078,648,110,602,460,1261,477,972,539,2562,3085,375,1245,1066,941,1243,451,3864,385,396,1284,457,1232,1300,1911,1113,1432,303,1073,50,130,588,1195,1623
K19788,705,105,628,626,1704,667,1472,727,1612,1818,396,1390,1501,917,1255,526,6984,495,512,1404,584,1804,1869,2360,1599,1582,519,1290,110,224,685,1451,1677
K05575,51,29,40,43,22,2,32,21,67,79,23,17,19,17,96,46,587,12,13,59,15,132,121,67,85,86,29,44,12,33,25,47,28
K00965,274,179,1812,1466,4603,1439,2100,929,5923,6764,1705,4950,4824,2174,3674,726,15936,941,680,4722,1428,6784,3661,6568,3444,3341,1152,3927,213,310,1674,3581,4963
